Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population,Total Admits (Proportion),30-day Readmits (Proportion)
2014,Mendocino,ICD-9,5164.0,590.0,11.4,40074.0,87247,0.05918828154549727,0.00676241016883102
2014,Merced,ICD-9,11433.0,1530.0,13.4,34240.0,264241,0.04326732036285058,0.005790168823157648
2014,Modoc,ICD-9,322.0,25.0,7.8,40683.0,9078,0.035470367922449876,0.0027539105529852392
2014,Mono,ICD-9,270.0,33.0,12.2,42683.0,14130,0.01910828025477707,0.002335456475583864
2014,Monterey,ICD-9,16384.0,1666.0,10.2,46374.0,427985,0.03828171548068274,0.0038926597894786033
2014,Napa,ICD-9,7288.0,932.0,12.8,58241.0,140331,0.05193435520305563,0.006641440594024129
2014,Nevada,ICD-9,5736.0,711.0,12.4,51373.0,98605,0.05817149231783378,0.0072105876983925765
2014,Orange,ICD-9,130679.0,16685.0,12.8,55461.0,3126523,0.0417969098580116,0.005336599155035802
2014,Placer,ICD-9,17446.0,1973.0,11.3,55204.0,369241,0.04724827416240342,0.005343393610135386
2014,Plumas,ICD-9,854.0,120.0,14.1,42932.0,18631,0.04583758252375074,0.006440878106381837
2014,Riverside,ICD-9,111062.0,14744.0,13.3,34786.0,2315238,0.0479700143138632,0.0063682437831445405
2014,Sacramento,ICD-9,78028.0,10662.0,13.7,43469.0,1474828,0.0529065084199649,0.007229317588220457
2014,San Benito,ICD-9,2594.0,325.0,12.5,40388.0,57891,0.044808346720561054,0.005613998721735676
2014,San Bernardino,ICD-9,101796.0,14251.0,14.0,33381.0,2098346,0.04851249507945782,0.006791539622159549
2014,San Diego,ICD-9,150420.0,19696.0,13.1,50915.0,3249307,0.046292948003989774,0.006061600211983663
2014,San Joaquin,ICD-9,36070.0,4990.0,13.8,36290.0,711296,0.05071025283426309,0.007015363505488573
2014,San Luis Obispo,ICD-9,12268.0,1316.0,10.7,47054.0,278271,0.04408651997513215,0.004729202827459563
2014,San Mateo,ICD-9,27209.0,3434.0,12.6,90760.0,757653,0.035912218390212934,0.004532417874673498
2014,Santa Barbara,ICD-9,18621.0,1965.0,10.6,51447.0,438921,0.04242449096762287,0.004476887640372641
2014,Santa Clara,ICD-9,65778.0,8641.0,13.1,77059.0,1891286,0.03477950981501476,0.0045688489207872315
2014,Santa Cruz,ICD-9,10498.0,1078.0,10.3,54072.0,270863,0.03875760070589191,0.003979871743279813
2014,Shasta,ICD-9,13566.0,1462.0,10.8,37909.0,178904,0.0758283772302464,0.008171980503510262
2014,Sierra,ICD-9,127.0,10.0,7.9,37111.0,2976,0.042674731182795696,0.003360215053763441
2014,Siskiyou,ICD-9,2143.0,203.0,9.5,36561.0,43357,0.04942685148880227,0.0046820582604885025
2014,Solano,ICD-9,19610.0,2685.0,13.7,41195.0,428971,0.04571404593783729,0.006259164372416783
2014,Sonoma,ICD-9,21862.0,2540.0,11.6,49836.0,498317,0.04387167204811395,0.005097157030564881
2014,Stanislaus,ICD-9,30096.0,4036.0,13.4,36753.0,527814,0.05702008662142346,0.007646633094233954
2014,Sutter,ICD-9,5555.0,724.0,13.0,36688.0,94721,0.058645918011845315,0.007643500385342216
2014,Tehama,ICD-9,3368.0,420.0,12.5,33917.0,62797,0.053633135340860234,0.006688217590012262
2014,Trinity,ICD-9,889.0,122.0,13.7,28420.0,13126,0.06772817309157397,0.009294529940575957
2014,Tulare,ICD-9,20841.0,2622.0,12.6,34983.0,454858,0.04581869506527312,0.005764436373549548
2014,Tuolumne,ICD-9,3973.0,505.0,12.7,38181.0,53830,0.07380642764257848,0.009381385844324725
2014,Ventura,ICD-9,38377.0,4630.0,12.1,51943.0,842113,0.04557226880478036,0.0054980744864406555
2014,Yolo,ICD-9,7365.0,829.0,11.3,46763.0,208368,0.035346118405897256,0.0039785379712815785
2014,Yuba,ICD-9,4585.0,707.0,15.4,34303.0,73527,0.06235804534388728,0.009615515388904755
2015,Alameda,ICD-9,49269.0,6917.0,14.04,61618.0,1634326,0.03014637226599834,0.004232325741620704
2015,Alpine,ICD-9,9.0,0.0,0.0,63924.0,1080,0.008333333333333333,0.0
2015,Amador,ICD-9,2124.0,282.0,13.28,39764.0,37039,0.05734496071708199,0.007613596479386592
2015,Butte,ICD-9,16661.0,2907.0,17.45,39352.0,224643,0.07416656650774785,0.012940532311267211
2015,Calaveras,ICD-9,2174.0,269.0,12.37,42659.0,44972,0.04834119007382371,0.005981499599750956
2015,Colusa,ICD-9,757.0,83.0,10.96,39272.0,21208,0.03569407770652584,0.003913617502829121
2015,Contra Costa,ICD-9,41392.0,5752.0,13.9,67056.0,1124148,0.03682077448876838,0.005116763984813388
2015,Del Norte,ICD-9,889.0,94.0,10.57,33072.0,27198,0.03268622692845062,0.003456136480623575
2015,El Dorado,ICD-9,7038.0,809.0,11.49,58818.0,184627,0.03812010161027369,0.004381807644602361
2015,Fresno,ICD-9,36503.0,5072.0,13.89,38296.0,968889,0.0376751103583589,0.005234861784992915
2015,Glenn,ICD-9,1401.0,162.0,11.56,38924.0,27723,0.050535656314251706,0.0058435234282004115
2015,Humboldt,ICD-9,5666.0,568.0,10.02,40594.0,135177,0.04191541460455551,0.004201898251921555
2015,Imperial,ICD-9,5769.0,779.0,13.5,36121.0,178701,0.03228297547299679,0.004359236937678021
2015,Inyo,ICD-9,637.0,60.0,9.42,50961.0,18097,0.035199204288003536,0.0033154666519312594
2015,Kern,ICD-9,30391.0,3770.0,12.4,36532.0,876548,0.03467123306424748,0.004300962411642032
2015,Kings,ICD-9,4683.0,606.0,12.94,32733.0,149960,0.031228327554014404,0.004041077620698853
2015,Lake,ICD-9,3891.0,520.0,13.36,35796.0,64266,0.06054523387172066,0.008091370242429901
2015,Lassen,ICD-9,751.0,78.0,10.39,31092.0,31256,0.024027386741745586,0.002495520859994881
2015,Los Angeles,ICD-9,374849.0,55914.0,14.92,53067.0,10077263,0.0371975009484222,0.005548530389650444
2015,Madera,ICD-9,5174.0,656.0,12.68,34323.0,153448,0.03371826286429279,0.004275063865283354
2015,Marin,ICD-9,8072.0,878.0,10.88,109274.0,260974,0.030930284242874768,0.003364319817299808
2015,Mariposa,ICD-9,854.0,113.0,13.23,43701.0,17653,0.048377046394380556,0.00640117826998244
2015,Mendocino,ICD-9,3816.0,460.0,12.05,41701.0,87131,0.043796123079041904,0.005279406870115114
